NodeID	SpeciesID	StageID	Stage	Species.StageID	WorkingName	OrganismalGroup	NodeType	Resolution	ResolutionNotes	Feeding	Lifestyle(stage)	Lifestyle(species)	ConsumerStrategy(stage)	System	HabitatAffiliation	Mobility	Residency	NativeStatus	BodySize(g)	BodySizeEstimation	BodySizeNotes	BodySizeN	Biomass(kg/ha)	BiomassEstimation	BiomassNotes	Kingdom	Phylum	Subphylum	Superclass	Class	Subclass	Order	Suborder	Infraorder	Superfamily	Family	Genus	SpecificEpithet	Subspecies	NodeNotes
116	116	1	Adult	116.1	Brent Goose	Bird	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Migrant									Animalia	Chordata			Aves							Branta	bernicla		NA
117	117	1	Adult	117.1	Common Shelduck	Bird	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Migrant									Animalia	Chordata			Aves							Tadorna	tadorna		NA
118	118	1	Adult	118.1	Eurasian Wigeon	Bird	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Migrant									Animalia	Chordata			Aves							Anas	penelope		NA
119	119	1	Adult	119.1	Northern Pintail	Bird	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Migrant									Animalia	Chordata			Aves							Anas	acuta		NA
120	120	1	Adult	120.1	Eurasian Teal	Bird	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Migrant									Animalia	Chordata			Aves							Anas	crecca		NA
121	121	1	Adult	121.1	Mallard	Bird	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Migrant									Animalia	Chordata			Aves							Anas	platyrhynchos		NA
122	122	1	Adult	122.1	Common Eider	Bird	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Migrant									Animalia	Chordata			Aves							Somateria	mollissima		NA
123	123	1	Adult	123.1	Great Cormorant	Bird	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Migrant									Animalia	Chordata			Aves							Phalacrocorax	carbo		NA
124	124	1	Adult	124.1	Peregrine Falcon	Bird	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Resident									Animalia	Chordata			Aves							Falco	peregrinus		NA
125	125	1	Adult	125.1	Carrion Crow	Bird	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Resident									Animalia	Chordata			Aves							Corvus	corone		NA
50	50	1	Adult	50.1	Common cockle	Bivalve	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Low	Resident									Animalia	Mollusca			Bivalvia							Cerastoderma 	edule		NA
51	51	1	Adult	51.1	Pacific Oyster	Bivalve	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Low	Resident									Animalia	Mollusca			Bivalvia							Crassostrea	gigas		NA
52	52	1	Adult	52.1	American razor-clam	Bivalve	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Low	Resident									Animalia	Mollusca			Bivalvia							Ensis	americanus		NA
53	53	1	Adult	53.1	Baltic macoma	Bivalve	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Low	Resident									Animalia	Mollusca			Bivalvia							Macoma	balthica		NA
54	54	1	Adult	54.1	Soft-shell clam	Bivalve	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Low	Resident									Animalia	Mollusca			Bivalvia							Mya	arenaria		NA
55	55	1	Adult	55.1	Blue mussel	Bivalve	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Low	Resident									Animalia	Mollusca			Bivalvia							Mytilus	edulis		NA
15	15	1	Adult	15.1	Alcyonidium mytili	Byrozoan	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Low	Resident									Animalia	Bryozoa										Alcyonidium	mytili		NA
16	16	1	Adult	16.1	Electra pilosa	Byrozoan	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Low	Resident									Animalia	Bryozoa										Electra	pilosa		NA
230	161	3	Plerocercoid	161.3	Cestoda sp. Host unknwon	Cestode	Lifecycle Stage	Species		Feeding	Infectious	Infectious	Trophically Transmitted Parasite													Animalia	Platyhelminthes			Cestoda										NA
224	156	1	Adult	156.1	Mytilicola intestinalis	Copepod	Taxon	Species		Feeding	Infectious	Infectious	Macroparasite													Animalia	Crustacea			Copepoda							Mytilicola	intestinalis		NA
225	157	1	Adult	157.1	Copepoda spec. 1	Copepod	Taxon	Species		Feeding	Infectious	Infectious	Macroparasite													Animalia	Crustacea			Copepoda							Copepoda	sp. 1		NA
226	158	1	Adult	158.1	Copepoda spec 2	Copepod	Taxon	Species		Feeding	Infectious	Infectious	Macroparasite													Animalia	Crustacea			Copeopda							Copepoda	sp. 2		NA
58	58	1	Adult	58.1	Green crab	Crab	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Intermediate	Resident									Animalia	Crustacea			Malacostraca		Decapoda					Carcinus 	maenas		NA
62	62	1	Adult	62.1	Cumacean	Cumacean	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Low	Resident									Animalia	Crustacea			Malacostraca		Cumacea					Cumopsis	goodsiri		NA
1	1	1	Adult	1.1	Detritus	Detritus	Detritus/Stock	Assemblage		Non-Feeding			Non-Feeding																											NA
2	2	1	Adult	2.1	Carrion	Detritus	Detritus/Stock	Assemblage		Non-Feeding			Non-Feeding																											NA
76	76	1	Adult	76.1	Sand Eel	Fish	Taxon	Genus		Feeding	Freeliving	Freeliving	Predator			Intermediate	Migrant									Animalia	Chordata			Ostheichthyes							Ammodytes	lancea/tobianus		NA
77	77	1	Adult	77.1	European eel	Fish	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Intermediate	Migrant									Animalia	Chordata			Ostheichthyes							Anguilla	anguilla		NA
78	78	1	Adult	78.1	Sand smelt	Fish	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Migrant									Animalia	Chordata			Ostheichthyes							Atherina	presbyter		NA
79	79	1	Adult	79.1	Garfish	Fish	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Migrant									Animalia	Chordata			Ostheichthyes							Belone	belone		NA
80	80	1	Adult	80.1	Atlantic herring	Fish	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Migrant									Animalia	Chordata			Ostheichthyes							Clupea	harengus		NA
81	81	1	Adult	81.1	European anchovy	Fish	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Migrant									Animalia	Chordata			Ostheichthyes							Engraulis	encrasicolus		NA
82	82	1	Adult	82.1	Atlantic cod	Fish	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Migrant									Animalia	Chordata			Ostheichthyes							Gadus 	morhua		NA
83	83	1	Adult	83.1	Whiting	Fish	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Migrant									Animalia	Chordata			Ostheichthyes							Merlangius	merlangus		NA
84	84	1	Adult	84.1	Thicklip grey mullet	Fish	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Migrant									Animalia	Chordata			Ostheichthyes							Mugil 	chelo		NA
85	85	1	Adult	85.1	Shorthorn sculpin	Fish	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Resident									Animalia	Chordata			Ostheichthyes							Myxocephalus	scorpius		NA
86	86	1	Adult	86.1	European flounder	Fish	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Migrant									Animalia	Chordata			Ostheichthyes							Platichthys	flesus		NA
87	87	1	Adult	87.1	European plaice	Fish	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Migrant									Animalia	Chordata			Ostheichthyes							Pleuronectes	platessa		NA
88	88	1	Adult	88.1	Common goby	Fish	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Low	Resident									Animalia	Chordata			Ostheichthyes							Pomatoschistus	microps		NA
89	89	1	Adult	89.1	Sand goby	Fish	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Low	Migrant									Animalia	Chordata			Ostheichthyes							Pomatoschistus	minutus		NA
90	90	1	Adult	90.1	Viviparous blenny	Fish	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Low	Resident									Animalia	Chordata			Ostheichthyes							Zoarces	viviparus		NA
91	91	1	Adult	91.1	Fivebeard rockling	Fish	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Intermediate	Migrant									Animalia	Chordata			Ostheichthyes							Ciliata 	mustela		NA
92	92	1	Adult	92.1	Butterfish	Fish	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Resident									Animalia	Chordata			Ostheichthyes							Pholis	gunnellus		NA
93	93	1	Adult	93.1	Lumpsucker	Fish	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Resident									Animalia	Chordata			Ostheichthyes							Cyclopeterus	lumpus		NA
94	94	1	Adult	94.1	Three-spined stickleback	Fish	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Migrant									Animalia	Chordata			Ostheichthyes							Gasterosterus	aculeatus		NA
95	95	1	Adult	95.1	Nilsson's pipefish	Fish	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Low	Migrant									Animalia	Chordata			Ostheichthyes							Sygnathus	rostellatus		NA
96	96	1	Adult	96.1	European sprat	Fish	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Migrant									Animalia	Chordata			Ostheichthyes							Sprattus	sprattus		NA
65	65	1	Adult	65.1	Hermit crab	Hermit Crab	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Intermediate	Resident									Animalia	Crustacea			Malacostraca		Decapoda					Pagurus	bernhardus		NA
67	67	1	Adult	67.1	Isopod	Isopod	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Low	Resident									Animalia	Crustacea			Malacostraca		Isopoda					Jaera	albifrons		NA
126	126	1	Adult	126.1	Harbor seal	Mammal	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			High	Resident									Animalia	Chordata			Mammalia							Phoca	vitulina		NA
8	8	1	Adult	8.1	Meiofauna	Meiofauna	Common Name Group	Assemblage		Feeding	Freeliving	Freeliving	Predator			Low	Resident									Animalia														NA
223	155	1	Adult	155.1	Nematoda sp.	Nematode	Taxon	Species		Feeding	Infectious	Infectious	Macroparasite													Animalia	Nematoda										Nematoda	sp.		NA
17	17	1	Adult	17.1	Lineus viridis	Nemertean	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Low	Resident									Animalia	Nemertea										Lineus	viridis		NA
18	18	1	Adult	18.1	Amphiporus lactifloreus	Nemertean	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Low	Resident									Animalia	Nemertea										Amphiporus	lactifloreus		NA
19	19	1	Adult	19.1	Tetrastemma melanocephalum	Nemertean	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Low	Resident									Animalia	Nemertea										Tetrastemma	melanocephalum		NA
3	3	1	Adult	3.1	Phytoplankton	Plant	Common Name Group	Assemblage		Autotroph	Freeliving	Freeliving	Autotroph			Intermediate	Resident									Plantae														NA
4	4	1	Adult	4.1	Epipellic Flora	Plant	Common Name Group	Assemblage		Autotroph	Freeliving	Freeliving	Autotroph			Low	Resident									Plantae														NA
5	5	1	Adult	5.1	Macroalgae	Plant	Common Name Group	Assemblage		Autotroph	Freeliving	Freeliving	Autotroph			Low	Resident									Plantae														NA
6	6	1	Adult	6.1	Seagrass	Plant	Common Name Group	Assemblage		Autotroph	Freeliving	Freeliving	Autotroph			Low	Resident									Plantae	Angiosperms										Zostera	spp.		Seagrass is either Zostera marina or Zostera noltii thus  the aggregation is aggregation is not severe.
60	60	1	Adult	60.1	Brown shrimp	Shrimp	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Low	Resident									Animalia	Crustacea			Malacostraca		Decapoda					Crangon	crangon		NA
72	72	1	Adult	72.1	Chameleon shrimp	Shrimp	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Low	Resident									Animalia	Crustacea			Malacostraca		Mysida					Praunus	flexuosus		NA
45	45	1	Adult	45.1	Chiton	Snail	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Low	Resident									Animalia	Mollusca			Polyplacophora							Lepidochitona	cinereus		NA
46	46	1	Adult	46.1	Sea mouse	Snail	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Low	Resident									Animalia	Mollusca			Gastropoda		Opisthobranchia					Aeolidia	papillosa		NA
47	47	1	Adult	47.1	Common slipper snail	Snail	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Low	Resident									Animalia	Mollusca			Gastropoda		Prosobranchia					Crepidula	fornicata		NA
48	48	1	Adult	48.1	Laver spire shell	Snail	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Low	Resident									Animalia	Mollusca			Gastropoda		Prosobranchia					Hydrobia	ulvae		NA
49	49	1	Adult	49.1	Common periwinkle	Snail	Taxon	Species		Feeding	Freeliving	Freeliving	Predator			Low	Resident									Animalia	Mollusca			Gastropoda							Littorina	littorea		NA
127	127	1	Adult	127.1	Microphallus claviformis	Trematode	Lifecycle Stage	Species		Feeding	Infectious	Freeliving	Macroparasite													Animalia	Platyhelminthes			Trematoda		Digenea					Microphallus	claviformis		NA
131	128	1	Adult	128.1	Microphallus pygmaeus	Trematode	Lifecycle Stage	Species		Feeding	Infectious	Infectious	Macroparasite													Animalia	Platyhelminthes			Trematoda		Digenea					Microphallus	pygmaeus		NA
134	129	1	Adult	129.1	Microphallus pirum	Trematode	Lifecycle Stage	Species		Feeding	Infectious	Infectious	Macroparasite													Animalia	Platyhelminthes			Trematoda		Digenea					Microphallus	pirum		NA
137	130	1	Adult	130.1	Maritrema oocysta	Trematode	Lifecycle Stage	Species		Feeding	Infectious	Infectious	Macroparasite													Animalia	Platyhelminthes			Trematoda		Digenea					Maritrema	oocysta		NA
140	131	1	Adult	131.1	Maritrema subdolum	Trematode	Lifecycle Stage	Species		Feeding	Infectious	Infectious	Macroparasite													Animalia	Platyhelminthes			Trematoda		Digenea					Maritrema	subdolum		NA
144	132	1	Adult	132.1	Cercaria #15	Trematode	Lifecycle Stage	Species		Feeding	Infectious	Infectious	Macroparasite													Animalia	Platyhelminthes			Trematoda		Digenea					Ceracaria	#15		NA
148	133	1	Adult	133.1	Levinseniella brachysoma	Trematode	Lifecycle Stage	Species		Feeding	Infectious	Infectious	Macroparasite													Animalia	Platyhelminthes			Trematoda		Digenea					Levinseniella	brachysoma		NA
152	134	1	Adult	134.1	Himasthla elongata	Trematode	Lifecycle Stage	Species		Feeding	Infectious	Infectious	Macroparasite													Animalia	Platyhelminthes			Trematoda		Digenea					Himasthla	elongata		NA
156	135	1	Adult	135.1	Himasthla continua	Trematode	Lifecycle Stage	Species		Feeding	Infectious	Infectious	Macroparasite													Animalia	Platyhelminthes			Trematoda		Digenea					Himasthla	continua		NA
160	136	1	Adult	136.1	Himasthla interrupta	Trematode	Lifecycle Stage	Species		Feeding	Infectious	Infectious	Macroparasite													Animalia	Platyhelminthes			Trematoda		Digenea					Himasthla	interrupta		NA
164	137	1	Adult	137.1	Cryptocotyle concavum	Trematode	Lifecycle Stage	Species		Feeding	Infectious	Infectious	Macroparasite													Animalia	Platyhelminthes			Trematoda		Digenea					Cryptocotyle	concavum		NA
